title,price,code,detail
整租·柏悦公馆 1室1厅 南,2250,HZ2298569620442841088,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a38\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a13\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4f4e\u697c\u5c42/16\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·嘉绿文苑 4居室 南卧,1350,HZ2353332837333614592,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a15\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a\u4eca\u5929"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a5/18\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a1~12\u4e2a\u6708"", ""\u770b\u623f\uff1a\u9700\u63d0\u524d\u9884\u7ea6""]"
合租·阳光郡 4居室 东卧,1190,HZ2316602621219315712,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a6\u33a1"", ""\u671d\u5411\uff1a\u4e1c"", ""\u7ef4\u62a4\uff1a\u4eca\u5929"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a14/23\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·岸上蓝山 4居室 西北卧,950,HZ2352079673367724032,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a10\u33a1"", ""\u671d\u5411\uff1a\u897f\u5317"", ""\u7ef4\u62a4\uff1a13\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a9/11\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·铭雅苑东区 5居室 东卧,1190,HZ2323480615326064640,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a8\u33a1"", ""\u671d\u5411\uff1a\u4e1c"", ""\u7ef4\u62a4\uff1a\u4eca\u5929"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a6/6\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·西溪乐天城 2室1厅 南,3500,HZ2330281705073811456,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a50\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a1\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/8\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·马鞍山雅苑 1室1厅 北,1500,HZ2391106088855674880,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a18\u33a1"", ""\u671d\u5411\uff1a\u5317"", ""\u7ef4\u62a4\uff1a2\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a5/7\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u514d\u8d39\u4f7f\u7528"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a6~12\u4e2a\u6708"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·西溪乐天城 2室1厅 南,3500,HZ2384034105412026368,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a48\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a1\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/7\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·文晖铭园 4居室 东南卧,1700,HZ2414267898764722176,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a18\u33a1"", ""\u671d\u5411\uff1a\u4e1c\u5357"", ""\u7ef4\u62a4\uff1a6\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a1/6\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u96c6\u4e2d\u4f9b\u6696"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·西溪乐天城 2室2厅 南,3000,HZ2373792394824130560,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a48\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a7\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/8\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·龙湖旭辉春江悦茗 4居室 北卧,1290,HZ2341673058265473024,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a6\u33a1"", ""\u671d\u5411\uff1a\u5317"", ""\u7ef4\u62a4\uff1a1\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a18/30\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·美莱国际中心写字楼 2室1厅 南,2600,HZ2298572663687757824,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a45\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a6\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/22\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·东亚新干线 2室1厅 南,3300,HZ2322209067416174592,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a43\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a2\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/11\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·景芳五区 1室1厅 南,3500,HZ2385306898888409088,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a38\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a10\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/6\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
